scenario,penetration_pct,seed,n_evs,hour,v_min,v_max,v_min_all,v_max_all,xfmr_pct,converged
base,0,2,0,7,0.9873645472201573,1.047838077075661,0.9850586302332602,1.047838077075661,43.43062125647504,True
base,0,2,0,8,0.9866721897089956,1.0446961336879959,0.9790680936860043,1.0446961336879959,52.68975600618746,True
base,0,2,0,9,0.9960388962680686,1.0440581557784288,0.9832940306770942,1.0440581557784288,46.1041356701972,True
base,0,2,0,10,0.9964497128833442,1.0409219582903377,0.9869266019677453,1.0409219582903377,40.33445230746294,True
base,0,2,0,11,0.9973750188042098,1.0423951337192885,0.9874604883579717,1.0423951337192885,39.54825921248388,True
base,0,2,0,12,0.9930093123874564,1.0386186954813224,0.9884676397826291,1.0386186954813224,37.84285681529349,True
base,0,2,0,13,0.9939244237041873,1.0400802733290786,0.9889952672389098,1.0400802733290786,37.06881335723734,True
base,0,2,0,14,0.994837524476225,1.0415386520592618,0.9895214538942882,1.0415386520592618,36.298308910604476,True
base,0,2,0,15,0.9862834739950778,1.0419051507938573,0.981704305151227,1.0419051507938573,48.3985436868026,True
base,0,2,0,16,0.9787838855978926,1.0495018721073788,0.9734363971622585,1.0495018721073788,61.26555948869055,True
base,0,2,0,17,0.9746980687272535,1.0491155938274601,0.9614956107452828,1.0506213343659536,79.55097861136667,True
base,0,2,0,18,0.9790583609454645,1.049754250320723,0.9632908523203463,1.051914929985255,76.86708708168574,True
base,0,2,0,19,0.9834374421914097,1.0511636616054343,0.9650775811934539,1.053205600349116,74.20490151269414,True
base,0,2,0,20,0.9932622016007061,1.0497796305151894,0.9715358630471067,1.0514033682810953,64.38669815209457,True
base,0,2,0,21,0.9924794870021009,1.0423177788769877,0.9776800350378818,1.0434843347115101,54.63508144373697,True
base,0,2,0,22,0.9958869780226424,1.037193507058662,0.9831836508412177,1.037193507058662,46.079749052006925,True
base,0,2,0,23,0.9930080447892016,1.0386160717769417,0.9884669389323956,1.0386160717769417,37.843175390847705,True
base,0,3,0,0,0.9897314177903306,1.0468135283886917,0.9897314177903306,1.0468135283886917,33.069125190719234,True
base,0,3,0,1,0.994084507935536,1.0476208396678048,0.9936392727105218,1.0476208396678048,30.107063557028475,True
base,0,3,0,2,0.9973073171694159,1.0456310504993545,0.995033797377616,1.0456310504993545,27.93677395615777,True
base,0,3,0,3,0.9954405084841969,1.042339849608126,0.9954405084841969,1.042339849608126,25.038448504126077,True
base,0,3,0,4,0.9909404041306685,1.0367032365125821,0.9909404041306685,1.0367032365125821,27.798460807566038,True
base,0,3,0,5,0.985499633296039,1.0363195201412578,0.985499633296039,1.0363195201412578,31.437821706040907,True
base,0,3,0,6,0.9874123875879496,1.0438741602623203,0.9874123875879496,1.0438741602623203,34.57274208538943,True
base,0,3,0,7,0.9873645472201573,1.047838077075661,0.9850586302332602,1.047838077075661,43.43062125647504,True
base,0,3,0,8,0.9866721897089956,1.0446961336879959,0.9790680936860043,1.0446961336879959,52.68975600618746,True
base,0,3,0,9,0.9960388962680686,1.0440581557784288,0.9832940306770942,1.0440581557784288,46.1041356701972,True
base,0,3,0,10,0.9964497128833442,1.0409219582903377,0.9869266019677453,1.0409219582903377,40.33445230746294,True
base,0,3,0,11,0.9973750188042098,1.0423951337192885,0.9874604883579717,1.0423951337192885,39.54825921248388,True
base,0,3,0,12,0.9930093123874564,1.0386186954813224,0.9884676397826291,1.0386186954813224,37.84285681529349,True
base,0,3,0,13,0.9939244237041873,1.0400802733290786,0.9889952672389098,1.0400802733290786,37.06881335723734,True
base,0,3,0,14,0.994837524476225,1.0415386520592618,0.9895214538942882,1.0415386520592618,36.298308910604476,True
base,0,3,0,15,0.9862834739950778,1.0419051507938573,0.981704305151227,1.0419051507938573,48.3985436868026,True
base,0,3,0,16,0.9787838855978926,1.0495018721073788,0.9734363971622585,1.0495018721073788,61.26555948869055,True
base,0,3,0,17,0.9746980687272535,1.0491155938274601,0.9614956107452828,1.0506213343659536,79.55097861136667,True
base,0,3,0,18,0.9790583609454645,1.049754250320723,0.9632908523203463,1.051914929985255,76.86708708168574,True
base,0,3,0,19,0.9834374421914097,1.0511636616054343,0.9650775811934539,1.053205600349116,74.20490151269414,True
base,0,3,0,20,0.9932622016007061,1.0497796305151894,0.9715358630471067,1.0514033682810953,64.38669815209457,True
base,0,3,0,21,0.9924794870021009,1.0423177788769877,0.9776800350378818,1.0434843347115101,54.63508144373697,True
base,0,3,0,22,0.9958869780226424,1.037193507058662,0.9831836508412177,1.037193507058662,46.079749052006925,True
base,0,3,0,23,0.9930080447892016,1.0386160717769417,0.9884669389323956,1.0386160717769417,37.843175390847705,True
base,0,4,0,0,0.9897314177903306,1.0468135283886917,0.9897314177903306,1.0468135283886917,33.069125190719234,True
base,0,4,0,1,0.994084507935536,1.0476208396678048,0.9936392727105218,1.0476208396678048,30.107063557028475,True
base,0,4,0,2,0.9973073171694159,1.0456310504993545,0.995033797377616,1.0456310504993545,27.93677395615777,True
base,0,4,0,3,0.9954405084841969,1.042339849608126,0.9954405084841969,1.042339849608126,25.038448504126077,True
base,0,4,0,4,0.9909404041306685,1.0367032365125821,0.9909404041306685,1.0367032365125821,27.798460807566038,True
base,0,4,0,5,0.985499633296039,1.0363195201412578,0.985499633296039,1.0363195201412578,31.437821706040907,True
base,0,4,0,6,0.9874123875879496,1.0438741602623203,0.9874123875879496,1.0438741602623203,34.57274208538943,True
base,0,4,0,7,0.9873645472201573,1.047838077075661,0.9850586302332602,1.047838077075661,43.43062125647504,True
base,0,4,0,8,0.9866721897089956,1.0446961336879959,0.9790680936860043,1.0446961336879959,52.68975600618746,True
base,0,4,0,9,0.9960388962680686,1.0440581557784288,0.9832940306770942,1.0440581557784288,46.1041356701972,True
base,0,4,0,10,0.9964497128833442,1.0409219582903377,0.9869266019677453,1.0409219582903377,40.33445230746294,True
base,0,4,0,11,0.9973750188042098,1.0423951337192885,0.9874604883579717,1.0423951337192885,39.54825921248388,True
base,0,4,0,12,0.9930093123874564,1.0386186954813224,0.9884676397826291,1.0386186954813224,37.84285681529349,True
base,0,4,0,13,0.9939244237041873,1.0400802733290786,0.9889952672389098,1.0400802733290786,37.06881335723734,True
base,0,4,0,14,0.994837524476225,1.0415386520592618,0.9895214538942882,1.0415386520592618,36.298308910604476,True
base,0,4,0,15,0.9862834739950778,1.0419051507938573,0.981704305151227,1.0419051507938573,48.3985436868026,True
base,0,4,0,16,0.9787838855978926,1.0495018721073788,0.9734363971622585,1.0495018721073788,61.26555948869055,True
base,0,4,0,17,0.9746980687272535,1.0491155938274601,0.9614956107452828,1.0506213343659536,79.55097861136667,True
base,0,4,0,18,0.9790583609454645,1.049754250320723,0.9632908523203463,1.051914929985255,76.86708708168574,True
base,0,4,0,19,0.9834374421914097,1.0511636616054343,0.9650775811934539,1.053205600349116,74.20490151269414,True
base,0,4,0,20,0.9932622016007061,1.0497796305151894,0.9715358630471067,1.0514033682810953,64.38669815209457,True
base,0,4,0,21,0.9924794870021009,1.0423177788769877,0.9776800350378818,1.0434843347115101,54.63508144373697,True
base,0,4,0,22,0.9958869780226424,1.037193507058662,0.9831836508412177,1.037193507058662,46.079749052006925,True
base,0,4,0,23,0.9930080447892016,1.0386160717769417,0.9884669389323956,1.0386160717769417,37.843175390847705,True
base,0,5,0,0,0.9897314177903306,1.0468135283886917,0.9897314177903306,1.0468135283886917,33.069125190719234,True
base,0,5,0,1,0.994084507935536,1.0476208396678048,0.9936392727105218,1.0476208396678048,30.107063557028475,True
base,0,5,0,2,0.9973073171694159,1.0456310504993545,0.995033797377616,1.0456310504993545,27.93677395615777,True
base,0,5,0,3,0.9954405084841969,1.042339849608126,0.9954405084841969,1.042339849608126,25.038448504126077,True
base,0,5,0,4,0.9909404041306685,1.0367032365125821,0.9909404041306685,1.0367032365125821,27.798460807566038,True
base,0,5,0,5,0.985499633296039,1.0363195201412578,0.985499633296039,1.0363195201412578,31.437821706040907,True
base,0,5,0,6,0.9874123875879496,1.0438741602623203,0.9874123875879496,1.0438741602623203,34.57274208538943,True
base,0,5,0,7,0.9873645472201573,1.047838077075661,0.9850586302332602,1.047838077075661,43.43062125647504,True
base,0,5,0,8,0.9866721897089956,1.0446961336879959,0.9790680936860043,1.0446961336879959,52.68975600618746,True
base,0,5,0,9,0.9960388962680686,1.0440581557784288,0.9832940306770942,1.0440581557784288,46.1041356701972,True
base,0,5,0,10,0.9964497128833442,1.0409219582903377,0.9869266019677453,1.0409219582903377,40.33445230746294,True
base,0,5,0,11,0.9973750188042098,1.0423951337192885,0.9874604883579717,1.0423951337192885,39.54825921248388,True
base,0,5,0,12,0.9930093123874564,1.0386186954813224,0.9884676397826291,1.0386186954813224,37.84285681529349,True
base,0,5,0,13,0.9939244237041873,1.0400802733290786,0.9889952672389098,1.0400802733290786,37.06881335723734,True
base,0,5,0,14,0.994837524476225,1.0415386520592618,0.9895214538942882,1.0415386520592618,36.298308910604476,True
base,0,5,0,15,0.9862834739950778,1.0419051507938573,0.981704305151227,1.0419051507938573,48.3985436868026,True
base,0,5,0,16,0.9787838855978926,1.0495018721073788,0.9734363971622585,1.0495018721073788,61.26555948869055,True
base,0,5,0,17,0.9746980687272535,1.0491155938274601,0.9614956107452828,1.0506213343659536,79.55097861136667,True
base,0,5,0,18,0.9790583609454645,1.049754250320723,0.9632908523203463,1.051914929985255,76.86708708168574,True
base,0,5,0,19,0.9834374421914097,1.0511636616054343,0.9650775811934539,1.053205600349116,74.20490151269414,True
base,0,5,0,20,0.9932622016007061,1.0497796305151894,0.9715358630471067,1.0514033682810953,64.38669815209457,True
base,0,5,0,21,0.9924794870021009,1.0423177788769877,0.9776800350378818,1.0434843347115101,54.63508144373697,True
base,0,5,0,22,0.9958869780226424,1.037193507058662,0.9831836508412177,1.037193507058662,46.079749052006925,True
base,0,5,0,23,0.9930080447892016,1.0386160717769417,0.9884669389323956,1.0386160717769417,37.843175390847705,True
